temperature,pressure,humidity,pm1,pm10,co2,o3,voc,noise
1.66,100921,85.4,41,58,583,20,127036,61.35
12.86,99748,92.9,1,2,708,20,241281,53.85
12.37,100623,67.9,5,8,428,20,232401,56.85
7.58,101091,68.4,9,13,543,20,182480,57.35
4.96,99876,82.9,3,4,646,20,281294,58.35
2.59,99930,83.4,24,34,624,20,160103,64.85
10.55,101361,80.9,9,13,618,20,214777,57.85
-0.59,100301,68.9,4,6,605,20,263753,64.85
11.49,100936,83.9,28,39,594,20,167534,58.85
11.54,101662,81.9,30,41,733,20,143158,56.85
11.23,100288,78.4,25,35,449,20,198003,58.35
5.23,101954,73.4,13,19,574,20,196139,54.85
9.95,100534,81.9,8,12,741,20,244910,51.85
14.5,100617,77.9,2,3,733,20,224318,61.35
10.52,99965,85.9,3,4,763,20,273365,49.85
2.66,101148,82.4,7,11,546,20,223282,55.35
13.47,100011,80.9,6,9,727,20,187460,58.35
7.23,101571,63.9,36,51,552,20,146473,57.35
8.95,101932,86.9,10,14,617,20,248240,52.35
9.42,100730,79.9,11,16,501,20,188191,58.85
5.15,100767,86.4,10,14,656,20,222480,56.85
-0.5,101550,80.9,30,43,574,20,167694,65.85
-2.7,101122,81.4,23,33,654,20,187284,50.35
-0.57,101552,80.9,30,42,572,20,171895,67.85
7.25,100534,93.4,22,31,679,20,218665,55.35
7.89,99950,64.9,3,4,450,20,277740,61.35
2.06,100686,85.9,32,45,640,20,152991,58.85
18.02,100494,86.9,5,8,682,20,203043,52.85
2.08,102029,90.4,17,23,733,20,265810,54.85
13.59,100006,81.4,6,9,701,20,249564,50.35
2.48,101156,82.9,13,18,533,20,228662,53.35
0.91,102516,73.4,13,18,633,20,244775,51.85
8.09,100814,70.9,11,16,550,20,222500,57.35
3.43,102289,69.9,98,137,502,20,115698,52.35
7.53,100768,72.4,44,62,530,20,143343,60.35
6.91,99114,85.4,7,10,652,20,251481,59.85
8.81,100529,84.4,25,36,640,20,218420,51.35
11.69,100822,83.9,21,29,576,20,226232,53.85
4.04,101069,68.9,12,17,548,20,219656,59.35
3.63,100452,76.9,26,37,586,20,194419,51.35
8.12,102220,65.4,40,55,401,20,177673,58.35
9,101313,83.4,25,35,635,20,197140,55.85
8.24,100320,72.4,6,9,418,20,225249,56.85
8.09,100154,89.4,4,6,825,20,242198,56.85
9.06,99442,78.4,0,1,618,20,213275,61.35
13.02,99974,87.9,6,8,729,20,174832,64.35
4.6,101245,72.9,17,25,575,20,203572,60.35
9.15,100194,80.4,1,2,775,20,195024,58.85
7.04,101870,68.9,4,6,541,20,188284,59.85
0.6,102126,74.9,4,6,625,20,264356,54.35
7.67,99678,86.4,17,23,636,20,250252,60.35
1.57,102024,90.4,23,32,741,20,251876,50.35
6.13,101701,87.4,10,14,703,20,219775,56.85
5.27,99431,86.4,24,34,511,20,159445,59.35
4.99,99745,83.4,4,6,643,20,250793,60.85
2.5,100289,81.9,20,28,549,20,168158,55.35
6,101391,61.4,15,20,426,20,240280,55.85
13.66,99199,67.4,9,13,526,20,210082,54.35
-4.41,100968,73.9,14,20,672,20,234229,50.35
4.51,102824,62.4,8,11,569,20,229019,58.35
1.17,101017,86.4,31,44,657,20,165741,53.85
2.29,99487,74.9,18,26,520,20,214881,54.85
13.88,100854,66.9,7,11,554,20,172807,57.85
-0.15,100317,75.4,4,5,547,20,234860,54.85
-0.41,101417,88.4,23,32,593,20,241400,54.85
3.34,99053,90.9,8,12,546,20,172143,55.85
4.32,101110,82.4,9,13,520,20,184416,56.85
-3.65,100508,81.4,12,18,665,20,225133,58.35
4.29,101517,61.9,14,20,435,20,196528,58.85
10.56,100477,83.4,6,9,481,20,234480,54.85
-2.57,101830,77.4,8,11,652,20,229772,50.85
0.84,100589,81.9,37,52,517,20,169977,62.35
3.07,99990,81.9,12,17,585,20,212076,60.85
6.18,100674,78.9,21,29,480,20,173274,63.35
0.48,100079,79.9,28,38,587,20,156951,59.35
0.42,101064,84.9,27,38,631,20,148959,61.85
2.02,100601,80.4,7,10,722,20,239737,50.35
7.62,99742,84.4,15,21,631,20,241403,59.35
-1.01,100827,81.9,23,33,647,20,214119,51.85
10.67,100150,75.4,0,0,697,20,297724,54.35
-2.7,101784,76.4,18,25,648,20,209427,56.85
13.53,101082,83.9,13,19,699,20,209628,54.85
-3.52,101180,81.9,33,46,685,20,140220,58.35
-3.81,101503,77.9,60,83,626,20,162317,55.85
-0.07,100228,88.4,10,14,650,20,233874,55.35
4.46,99372,89.9,43,61,522,20,163826,57.35
10.71,100463,78.4,1,2,722,20,257151,58.35
1.33,102394,71.9,8,12,622,20,252974,50.85
4.56,101247,77.4,10,14,528,20,206004,54.85
9.47,98825,85.9,26,37,596,20,237968,52.85
10.82,98492,87.4,1,2,583,20,222706,55.35
1.02,101164,87.9,15,21,700,20,313764,53.85
5.83,100903,83.4,7,10,699,20,233248,53.85
1.61,100846,84.9,14,20,573,20,205301,54.85
9.5,99908,62.4,3,4,429,20,243309,58.35
12.01,100684,80.4,21,30,571,20,195373,59.85
-2.56,101760,76.4,22,30,651,20,208579,50.35
9.7,101082,90.4,12,18,769,20,237090,56.85
6.21,99103,87.4,25,35,530,20,206707,51.85
0.22,101893,74.4,20,28,631,20,180917,62.85
